"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Sademäärä [mm]"
"Kaarina Yltöinen","2024","3","5","00:00","-1"
"Kaarina Yltöinen","2024","3","6","00:00","-1"
"Kaarina Yltöinen","2024","3","7","00:00","-1"
"Kaarina Yltöinen","2024","3","8","00:00","-1"
"Kaarina Yltöinen","2024","3","9","00:00","-1"
"Kaarina Yltöinen","2024","3","10","00:00","-1"
"Kaarina Yltöinen","2024","3","11","00:00","-1"
"Kaarina Yltöinen","2024","3","12","00:00","-1"
"Kaarina Yltöinen","2024","3","13","00:00","0.7"
"Kaarina Yltöinen","2024","3","14","00:00","6.2"
"Kaarina Yltöinen","2024","3","15","00:00","3.2"
"Kaarina Yltöinen","2024","3","16","00:00","8.4"
"Kaarina Yltöinen","2024","3","17","00:00","0.1"
"Kaarina Yltöinen","2024","3","18","00:00","-1"
"Kaarina Yltöinen","2024","3","19","00:00","-1"
"Kaarina Yltöinen","2024","3","20","00:00","0.6"
"Kaarina Yltöinen","2024","3","21","00:00","0.8"
"Kaarina Yltöinen","2024","3","22","00:00","1.8"
"Kaarina Yltöinen","2024","3","23","00:00","-1"
"Kaarina Yltöinen","2024","3","24","00:00","-1"
"Kaarina Yltöinen","2024","3","25","00:00","-1"
"Kaarina Yltöinen","2024","3","26","00:00","1.2"
"Kaarina Yltöinen","2024","3","27","00:00","-1"
"Kaarina Yltöinen","2024","3","28","00:00","2"
"Kaarina Yltöinen","2024","3","29","00:00","3.6"
"Kaarina Yltöinen","2024","3","30","00:00","-1"
"Kaarina Yltöinen","2024","3","31","00:00","-1"
"Kaarina Yltöinen","2024","4","1","00:00","-1"
"Kaarina Yltöinen","2024","4","2","00:00","18.2"
"Kaarina Yltöinen","2024","4","3","00:00","-1"
"Kaarina Yltöinen","2024","4","4","00:00","-1"
"Kaarina Yltöinen","2024","4","5","00:00","1.8"
"Kaarina Yltöinen","2024","4","6","00:00","-1"
"Kaarina Yltöinen","2024","4","7","00:00","0.8"
"Kaarina Yltöinen","2024","4","8","00:00","-1"
"Kaarina Yltöinen","2024","4","9","00:00","-1"
"Kaarina Yltöinen","2024","4","10","00:00","0.3"
"Kaarina Yltöinen","2024","4","11","00:00","4.4"
"Kaarina Yltöinen","2024","4","12","00:00","-1"
"Kaarina Yltöinen","2024","4","13","00:00","1"
"Kaarina Yltöinen","2024","4","14","00:00","6.1"
"Kaarina Yltöinen","2024","4","15","00:00","-1"
"Kaarina Yltöinen","2024","4","16","00:00","0.9"
"Kaarina Yltöinen","2024","4","17","00:00","-1"
"Kaarina Yltöinen","2024","4","18","00:00","-1"
"Kaarina Yltöinen","2024","4","19","00:00","1.4"
"Kaarina Yltöinen","2024","4","20","00:00","0.4"
"Kaarina Yltöinen","2024","4","21","00:00","-1"
"Kaarina Yltöinen","2024","4","22","00:00","9.9"
"Kaarina Yltöinen","2024","4","23","00:00","1.2"
"Kaarina Yltöinen","2024","4","24","00:00","-1"
"Kaarina Yltöinen","2024","4","25","00:00","-1"
"Kaarina Yltöinen","2024","4","26","00:00","-1"
"Kaarina Yltöinen","2024","4","27","00:00","-1"
"Kaarina Yltöinen","2024","4","28","00:00","-1"
"Kaarina Yltöinen","2024","4","29","00:00","0.7"
"Kaarina Yltöinen","2024","4","30","00:00","-1"
"Kaarina Yltöinen","2024","5","1","00:00","-1"
"Kaarina Yltöinen","2024","5","2","00:00","-1"
"Kaarina Yltöinen","2024","5","3","00:00","-1"
"Kaarina Yltöinen","2024","5","4","00:00","-1"
"Kaarina Yltöinen","2024","5","5","00:00","-1"
"Kaarina Yltöinen","2024","5","6","00:00","-1"
"Kaarina Yltöinen","2024","5","7","00:00","-1"
"Kaarina Yltöinen","2024","5","8","00:00","-1"
"Kaarina Yltöinen","2024","5","9","00:00","1.9"
"Kaarina Yltöinen","2024","5","10","00:00","-1"
"Kaarina Yltöinen","2024","5","11","00:00","-1"
"Kaarina Yltöinen","2024","5","12","00:00","-1"
"Kaarina Yltöinen","2024","5","13","00:00","-1"
"Kaarina Yltöinen","2024","5","14","00:00","-1"
"Kaarina Yltöinen","2024","5","15","00:00","-1"
"Kaarina Yltöinen","2024","5","16","00:00","-1"
"Kaarina Yltöinen","2024","5","17","00:00","-1"
"Kaarina Yltöinen","2024","5","18","00:00","-1"
"Kaarina Yltöinen","2024","5","19","00:00","-1"
"Kaarina Yltöinen","2024","5","20","00:00","-1"
"Kaarina Yltöinen","2024","5","21","00:00","-1"
"Kaarina Yltöinen","2024","5","22","00:00","-1"
"Kaarina Yltöinen","2024","5","23","00:00","-1"
"Kaarina Yltöinen","2024","5","24","00:00","-1"
"Kaarina Yltöinen","2024","5","25","00:00","0.8"
"Kaarina Yltöinen","2024","5","26","00:00","0.5"
"Kaarina Yltöinen","2024","5","27","00:00","-1"
"Kaarina Yltöinen","2024","5","28","00:00","-1"
"Kaarina Yltöinen","2024","5","29","00:00","-1"
"Kaarina Yltöinen","2024","5","30","00:00","-1"
"Kaarina Yltöinen","2024","5","31","00:00","13.6"
"Kaarina Yltöinen","2024","6","1","00:00","14.1"
"Kaarina Yltöinen","2024","6","2","00:00","4.5"
